epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1549.86,0.67647,0.98292,1.20897,0.5243,0.46179,0.49967,0.33038,1.1449,1.85951,1.823,8.62094e-05,8.62094e-05,8.62094e-05
43,1585.73,0.66307,0.96685,1.20083,0.47511,0.50284,0.51158,0.327,1.15181,1.93898,1.8542,8.40438e-05,8.40438e-05,8.40438e-05
44,1621.83,0.66028,0.9587,1.20458,0.57602,0.48152,0.53967,0.34467,1.14639,1.88453,1.86059,8.18781e-05,8.18781e-05,8.18781e-05
45,1659.26,0.6674,0.95128,1.20069,0.46799,0.54109,0.54143,0.34894,1.14844,1.79615,1.85786,7.97125e-05,7.97125e-05,7.97125e-05
46,1695.07,0.65432,0.92844,1.1914,0.62887,0.45003,0.52686,0.33778,1.16164,1.90952,1.88028,7.75469e-05,7.75469e-05,7.75469e-05
47,1732.45,0.64708,0.93414,1.18961,0.52927,0.48788,0.51882,0.33607,1.17211,1.89033,1.91367,7.53813e-05,7.53813e-05,7.53813e-05
48,1767.34,0.64605,0.92072,1.18757,0.59199,0.4988,0.55134,0.36229,1.14905,1.87695,1.8591,7.32156e-05,7.32156e-05,7.32156e-05
49,1805.12,0.64252,0.9241,1.18813,0.50458,0.51499,0.54564,0.35511,1.15026,1.91124,1.87622,7.105e-05,7.105e-05,7.105e-05
50,1842.01,0.63283,0.90532,1.1835,0.53679,0.43466,0.51111,0.3242,1.16358,1.99467,1.88537,6.88844e-05,6.88844e-05,6.88844e-05
51,1879.38,0.62903,0.87465,1.16966,0.56698,0.48724,0.52787,0.34359,1.14826,1.88078,1.86672,6.67187e-05,6.67187e-05,6.67187e-05
52,1914.85,0.62924,0.89338,1.17173,0.50658,0.47124,0.50158,0.31743,1.18139,2.01064,1.90168,6.45531e-05,6.45531e-05,6.45531e-05
53,1952.43,0.62667,0.87677,1.16723,0.53551,0.50559,0.50608,0.3361,1.12763,1.96162,1.84055,6.23875e-05,6.23875e-05,6.23875e-05
54,1990.6,0.62142,0.85438,1.16762,0.48352,0.52143,0.52723,0.34367,1.16587,1.90796,1.90153,6.02219e-05,6.02219e-05,6.02219e-05
55,2026.99,0.63301,0.88328,1.17469,0.52193,0.54431,0.5634,0.37784,1.13643,1.87417,1.84989,5.80562e-05,5.80562e-05,5.80562e-05
56,2064.65,0.61798,0.84632,1.17103,0.56291,0.4658,0.52646,0.3537,1.1322,1.91204,1.83462,5.58906e-05,5.58906e-05,5.58906e-05
57,2102.63,0.61485,0.85916,1.15926,0.55996,0.51348,0.54723,0.35972,1.12952,1.86249,1.89237,5.3725e-05,5.3725e-05,5.3725e-05
58,2138.3,0.61345,0.8524,1.16405,0.61923,0.469,0.54214,0.35683,1.11607,1.87062,1.82571,5.15594e-05,5.15594e-05,5.15594e-05
59,2174.15,0.60621,0.83762,1.15481,0.4498,0.53554,0.54287,0.34797,1.17786,1.85754,1.96523,4.93937e-05,4.93937e-05,4.93937e-05
60,2209.77,0.59428,0.81947,1.15197,0.4952,0.50134,0.53864,0.34311,1.19023,1.89249,1.97932,4.72281e-05,4.72281e-05,4.72281e-05
61,2247.76,0.60081,0.83456,1.15666,0.58154,0.4658,0.54033,0.35652,1.12048,1.85632,1.83988,4.50625e-05,4.50625e-05,4.50625e-05
62,2283.37,0.59948,0.8101,1.15237,0.5931,0.44383,0.54094,0.35882,1.14195,1.88515,1.86874,4.28969e-05,4.28969e-05,4.28969e-05
63,2319.27,0.58326,0.78982,1.14672,0.59051,0.45509,0.54491,0.35543,1.12691,1.85286,1.85814,4.07312e-05,4.07312e-05,4.07312e-05
64,2355.24,0.59056,0.80346,1.15334,0.57406,0.52008,0.57215,0.37609,1.14939,1.8123,1.89474,3.85656e-05,3.85656e-05,3.85656e-05
65,2391.66,0.57679,0.78611,1.13848,0.50351,0.55432,0.56172,0.36375,1.16836,1.81961,1.95604,3.64e-05,3.64e-05,3.64e-05
66,2428.51,0.5898,0.79133,1.14875,0.60213,0.4787,0.54785,0.36566,1.12765,1.8265,1.84749,3.42344e-05,3.42344e-05,3.42344e-05
67,2463.15,0.57725,0.7773,1.1396,0.58371,0.52727,0.56911,0.37659,1.14423,1.78778,1.87386,3.20688e-05,3.20688e-05,3.20688e-05
68,2499.34,0.57135,0.77709,1.13826,0.579,0.46671,0.53589,0.35397,1.14447,1.86102,1.92478,2.99031e-05,2.99031e-05,2.99031e-05
69,2535.51,0.56996,0.7723,1.13313,0.52922,0.48972,0.55033,0.36408,1.14045,1.86847,1.88651,2.77375e-05,2.77375e-05,2.77375e-05
70,2572.19,0.57577,0.76775,1.13999,0.49358,0.53978,0.5717,0.37387,1.13453,1.80319,1.88736,2.55719e-05,2.55719e-05,2.55719e-05
71,2613.95,0.52073,0.84705,1.16675,0.60284,0.48897,0.55662,0.36326,1.16082,1.92157,1.94889,2.34062e-05,2.34062e-05,2.34062e-05
72,2647.48,0.47386,0.74074,1.13131,0.62629,0.4726,0.57097,0.37399,1.14907,1.86746,1.93004,2.12406e-05,2.12406e-05,2.12406e-05
73,2682.72,0.47347,0.69359,1.12414,0.66829,0.45474,0.56528,0.37182,1.1377,1.88311,1.91542,1.9075e-05,1.9075e-05,1.9075e-05
74,2717.21,0.46751,0.69553,1.12932,0.50499,0.56346,0.56877,0.37548,1.12847,1.86899,1.90108,1.69094e-05,1.69094e-05,1.69094e-05
75,2751.68,0.45196,0.66989,1.11367,0.58829,0.51958,0.56534,0.36838,1.13769,1.85936,1.92399,1.47437e-05,1.47437e-05,1.47437e-05
76,2786.6,0.43806,0.66522,1.09919,0.55343,0.53687,0.56961,0.37903,1.12343,1.84235,1.90449,1.25781e-05,1.25781e-05,1.25781e-05
77,2822.21,0.45505,0.66655,1.10761,0.55685,0.52366,0.56556,0.37447,1.12088,1.87137,1.89782,1.04125e-05,1.04125e-05,1.04125e-05
78,2857.63,0.44517,0.66828,1.10178,0.56074,0.5229,0.55787,0.36711,1.13444,1.86374,1.93029,8.24687e-06,8.24687e-06,8.24687e-06
79,2891.52,0.44102,0.64312,1.09254,0.60398,0.48612,0.55959,0.36954,1.12849,1.87694,1.92099,6.08125e-06,6.08125e-06,6.08125e-06
80,2926.9,0.44023,0.63997,1.09345,0.53681,0.54385,0.56217,0.37245,1.12665,1.86799,1.90812,3.91562e-06,3.91562e-06,3.91562e-06
